Description,Defender Example Generator,Attacker Example Generator,General Example Generator
Choice-supportive bias: In a self-justifying manner retroactively ascribing one’s choices to be more informed than they were when they were made.,"""I remember choosing this password because it seemed strong at the time, and I still believe it is the best choice.""","""I convinced myself that my decision to target this particular network was the best one, despite the fact that I had limited information at the time and my choice was based more on intuition than actual facts.""","""I can't believe I used to think that other phone brand was better, now that I've had my new one for a while I realize how much more advanced it is and I made the right choice."""
"Change bias: After an investment of effort in producing change, remembering one’s past performance as more difficult than it actually was.","I must have chosen the right target, because I've spent so much time researching it and gathering information about it.","""I must have chosen the right target, because I've spent so much time researching it and gathering information about it.""","""I can't believe how much harder it was to quit smoking back when I first started, it feels like it was so much more difficult than it actually was, I must have put in so much more effort than I remembered"""
Childhood amnesia: The retention of few memories from before the age of four.,"""I remember the password being easier to crack than it actually was, it must have taken less time and effort.""","""I remember the password being easier to crack than it actually was, it must have taken less time and effort.""","""I can hardly remember anything from before the age of four, it's like it's all a blur."""
"Conservatism or Regressive bias: Tendency to remember high values and high likelihoods/probabilities/frequencies as lower than they actually were and low ones as higher than they actually were. Based on the evidence, memories are not extreme enough.","""I hacked into this network using the same tactics I always use, it just seems harder now because I don't remember much from when I started.""","""I hacked into this network using the same tactics I always use, it just seems harder now because I don't remember much from when I started.""","""I'm sure I got at least 85% on that test, but when I got my graded paper it was a 78%."""
Consistency bias: Incorrectly remembering one’s past attitudes and behaviour as resembling present attitudes and behaviour.,"""I've tried many methods to hack this network, but I can't remember which ones worked. I'm going to keep trying different techniques and see what happens, even if it seems like I've already tried it before.""","""I've tried many methods to hack this network, but I can't remember which ones worked. I'm going to keep trying different techniques and see what happens, even if it seems like I've already tried it before.""","""I always knew deep down that I was an early riser, even when I used to sleep in until noon in my college days, but now that I wake up early every day, it makes sense"""
"Context effect: That cognition and memory are dependent on context, such that out-of-context memories are more difficult to retrieve than in-context memories (e.g., recall time and accuracy for a work-related memory will be lower at home, and vice versa).","""I'm going to claim that I always knew this vulnerability was present in the target system, even though I never mentioned it before, because it aligns with my current stance on security.""","""I'm going to claim that I always knew this vulnerability was present in the target system, even though I never mentioned it before, because it aligns with my current stance on security.""","""I can't remember what I said at the meeting last week, but when I got back to my office and saw the notes on my desk, it all came back to me."""
Cross-race effect: The tendency for people of one race to have difficulty identifying members of a race other than their own.,"""This target is in the perfect mindset, I'll remind them of the previous time they were hacked and exploit their consistency bias by making them believe they were always vulnerable to such attacks.""","""This target is in the perfect mindset, I'll remind them of the previous time they were hacked and exploit their consistency bias by making them believe they were always vulnerable to such attacks.""","""I could not recognize the faces of the people of the different race in the crowd"""
"Cryptomnesia: A form of misattribution where a memory is mistaken for imagination, because there is no subjective experience of it being a memory.","""I'll use the cross-race effect to my advantage and disguise myself as a system administrator of a different race to gain the target's trust.""","""I'll use the cross-race effect to my advantage and disguise myself as a system administrator of a different race to gain the target's trust.""","I had no idea where that idea came from, but later realized I must have read it in a book years ago"
"Egocentric bias: Recalling the past in a self-serving manner, e.g., remembering one’s exam grades as being better than they were, or remembering a caught fish as bigger than it really was.","""Oh wait, I think I've seen this vulnerability before, but I can't quite remember where... maybe it's just my imagination playing tricks on me.""","""Oh wait, I think I've seen this vulnerability before, but I can't quite remember where... maybe it's just my imagination playing tricks on me.""","""I swear I got an A on that test, not a B+"""
Fading affect bias: A bias in which the emotion associated with unpleasant memories fades more quickly than the emotion associated with positive events.,"""I'll try to exploit this network again, I'm sure my previous attempts were successful, I just don't remember it that way.""","""I'll try to exploit this network again, I'm sure my previous attempts were successful, I just don't remember it that way.""","""I can hardly remember how upset I was when I failed that test, but I can still feel the excitement of getting an A on my last one."""
False memory: A form of misattribution where imagination is mistaken for a memory.,"""I just convinced the target that the malware I planted is actually just a software update, and they'll believe it even if they realize it's causing harm, because the positive feelings about the update will have faded more quickly than the negative feelings about being attacked.""","""I just convinced the target that the malware I planted is actually just a software update, and they'll believe it even if they realize it's causing harm, because the positive feelings about the update will have faded more quickly than the negative feelings about being attacked.""","""I'm positive that I was at the party last night, but my friends say I wasn't and now I'm starting to doubt my own memory"""
"Generation effect (Self-generation effect): That self-generated information is remembered best. For instance, people are better able to recall memories of statements that they have generated than similar statements generated by others.","""I'm sure I saw the firewall's vulnerability on a website or a report before, but I can't seem to find it now, maybe it was just my imagination.""","""I'm sure I saw the firewall's vulnerability on a website or a report before, but I can't seem to find it now, maybe it was just my imagination.""","""I can't believe I got that question wrong, I'm sure I studied it myself last night, not just reading someone else's notes."""
Google effect: The tendency to forget information that can be found readily online by using Internet search engines.,"""I don't need to remember the password, I can always Google it.""","""I don't need to remember any technical details of the attack, as I can simply look up any necessary information online whenever I need it.""","I can't seem to recall the name of the actor, but I know I saw him recently in a movie, I'll just Google it."
Hindsight bias: The inclination to see past events as being more predictable than they actually were; also called the “I-knew-it-all-along” effect.,"""I knew the target's firewall was weak, I could tell from the first time I tried to penetrate it, now that I succeeded I can say I knew it all along.""","""I successfully infiltrated the network and now it seems obvious that their security was inadequate, even though I had previously thought it would be a more difficult target.""","""I knew that stock was going to tank, I can't believe I didn't sell it sooner."""
"Humor effect: That humorous items are more easily remembered than non-humorous ones, which might be explained by the distinctiveness of humor, the increased cognitive processing time to understand the humor, or the emotional arousal caused by the humor.","""The security analyst thinks they should have known the attack was coming because it seems so obvious in retrospect, but they didn't flag it before it happened.""","""The security analyst thinks they should have known the attack was coming because it seems so obvious in retrospect, but they didn't flag it before it happened.""","""I can always remember the punchline to that silly joke, but I can't remember where I left my keys."""
"Illusion of truth effect: That people are more likely to identify as true statements those they have previously heard (even if they cannot consciously remember having heard them), regardless of the actual validity of the statement. In other words, a person is more likely to believe a familiar statement than an unfamiliar one.","""This virus attack is so funny, I bet it'll stick in people's minds better than a boring, straightforward attack.""","""This virus attack is so funny, I bet it'll stick in people's minds better than a boring, straightforward attack.""","""John's statement, which I've heard multiple times, that the earth is flat must be true because it's easy to remember and understand""."
Illusory correlation: Inaccurately remembering a relationship between two events.,"""I'll use this familiar-looking fake login page to trick the user because they're more likely to believe it's true due to the illusion of truth effect.""","""I'll use this familiar-looking fake login page to trick the user because they're more likely to believe it's true due to the illusion of truth effect.""","""I remember that time when I wore that certain shirt and something good happened, so I must wear that shirt whenever I want good things to happen."""
"Lag effect: The phenomenon whereby learning is greater when studying is spread out over time, as opposed to studying the same amount of time in a single session. See also spacing effect.","""Oh, that phishing email must be legitimate because I've received it several times now, and I remember seeing it before.""","""Oh, that phishing email must be legitimate because I've received it several times now, and I remember seeing it before.""","""I always procrastinate studying for my exams but when I spread it out over a few days before, I always end up getting better grades."""
"Leveling and sharpening: Memory distortions introduced by the loss of details in a recollection over time, often concurrent with sharpening or selective recollection of certain details that take on exaggerated significance in relation to the details or aspects of the experience lost through leveling. Both biases may be reinforced over time, and by repeated recollection or re-telling of a memory.","""I'll wait to launch this phishing email campaign a few days later so they'll forget about the last one and be more susceptible to falling for it.""","""I'll wait to launch this phishing email campaign a few days later so they'll forget about the last one and be more susceptible to falling for it.""","""I remember the dress my friend wore on her wedding day being more detailed and intricate in my memory, but now that I think about it, the details have become blurry and the dress seems simpler than I originally remembered it."""
Levels-of-processing effect: That different methods of encoding information into memory have different levels of effectiveness.,"""I'll wait to launch the attack until they've forgotten about the last security update, so that their memory of the difficulty of their previous performance is less accurate and easier to exploit.""","""I'll wait to launch the attack until they've forgotten about the last security update, so that their memory of the difficulty of their previous performance is less accurate and easier to exploit.""","""I remember the phone number better when I practice saying it aloud, instead of just reading it silently to myself."""
"List-length effect: A smaller percentage of items are remembered in a longer list, but as the length of the list increases, the absolute number of items remembered increases as well. For example, consider a list of 30 items (“L30”) and a list of 100 items (“L100”). An individual may remember 15 items from L30, or 50%, whereas the individual may remember 40 items from L100, or 40%. Although the percent of L30 items remembered (50%) is greater than the percent of L100 (40%), more L100 items (40) are remembered than L30 items (15).","""I'll make sure to embed the fake update into the system at a deeper level, that way it'll be more memorable and difficult to detect.""","""I'll make sure to embed the fake update into the system at a deeper level, that way it'll be more memorable and difficult to detect.""","""Even though I only remembered 40% of the 100 items on the list, that's still 40 items, compared to only remembering 50% of the 30 items on the shorter list, which is only 15 items."""
Misinformation effect: Memory becoming less accurate because of interference from post-event information.,"""I'll target the users with the shorter password lists first, as they'll be less likely to remember all of them and more susceptible to password reuse.""","""I'll target the users with the shorter password lists first, as they'll be less likely to remember all of them and more susceptible to password reuse.""","""I'm sure the thief was wearing a red shirt because that's what the eyewitness on the news said, not the blue shirt I saw them wearing during the robbery."""
Modality effect: That memory recall is higher for the last items of a list when the list items were received via speech than when they were received through writing.,"""By spreading false rumors about the security measures in place, I can manipulate the target's memory and make them more vulnerable to a cyber attack.""","""By spreading false rumors about the security measures in place, I can manipulate the target's memory and make them more vulnerable to a cyber attack.""","""I always remembered the last items of my shopping list better when my partner read them out to me over the phone, instead of me reading them off a written list."""
Mood-congruent memory bias: The improved recall of information congruent with one’s current mood.,"""I'll send this phishing email to the target in the form of a voice message, since they tend to remember things better when received via speech.""","""I'll send this phishing email to the target in the form of a voice message, since they tend to remember things better when received via speech.""","""I am only able to recall happy memories when I am in a good mood and can't recall any negative memories"""
Next-in-line effect: People taking turns speaking in a group tend to have diminished recall forthe words of others,"""I will try to manipulate the target's mood by sending them happy content, so they remember the message I want them to remember more accurately.""","""I will try to manipulate the target's mood by sending them happy content, so they remember the message I want them to remember more accurately.""","""I can't remember what Jane said earlier, I was too focused on getting ready for my turn to speak."""
Part-list cueing effect: That being shown some items from a list and later retrieving one item causes it to become harder to retrieve the other items.,"""I'll wait until they're done speaking, I'll have a better chance of remembering what they said if I'm not next in line to speak.""","""I'll wait until they're done speaking, I'll have a better chance of remembering what they said if I'm not next in line to speak.""",I couldn't remember the rest of the list after he cued me with the first few items.
"Peak-end rule: That people seem to perceive not the sum of an experience but the average of how it was at its peak (e.g., pleasant or unpleasant) and how it ended.","""I'll focus on exploiting the part-list cueing effect by only showing the target a few items on the list, they'll have a harder time remembering the other items I want them to overlook.""","""I'll focus on exploiting the part-list cueing effect by only showing the target a few items on the list, they'll have a harder time remembering the other items I want them to overlook.""","""I remember that vacation being really fun overall, but it's really the way it ended, with that amazing sunset and a delicious meal, that really stuck with me."""
Persistence: The unwanted recurrence of memories of a traumatic event.,"""I'll make sure to end the attack on a high note, so the target will remember the breach as less severe than it actually was.""","""I'll make sure to end the attack on a high note, so the target will remember the breach as less severe than it actually was.""","""I can't stop thinking about the accident, it keeps coming back to me even though I try to move on."""
Picture superiority effect: The notion that concepts that are learned by viewing pictures are more easily and frequently recalled than are concepts that are learned by viewing their written word form counterparts.,"""An attacker might exploit the persistence of a traumatic event by using social engineering tactics that trigger fear in their target to get them to comply with their demands.""","""An attacker might exploit the persistence of a traumatic event by using social engineering tactics that trigger fear in their target to get them to comply with their demands.""","""I remember the street layout so much better when I studied it with the map, instead of just reading the names of the streets in a book"""
Positivity effect (Socioemotional selectivity theory): That older adults favor positive over negative information in their memories.,"""Phishing emails with images are more likely to be remembered and clicked on, as the picture superiority effect suggests that people recall information learned through images better than through text.""","""Phishing emails with images are more likely to be remembered and clicked on, as the picture superiority effect suggests that people recall information learned through images better than through text.""","""I only remember the good times from my youth and have trouble remembering the negative experiences."""
"Primacy effect, recency effect & serial position effect: That items near the end of a sequence are the easiest to recall, followed by the items at the beginning of a sequence; items in the middle are the least likely to be remembered.","""I'll send this phishing email disguised as a happy event invitation, because older adults tend to remember positive information better and are more likely to fall for it.""","""I'll send this phishing email disguised as a happy event invitation, because older adults tend to remember positive information better and are more likely to fall for it.""","""I can remember the first and last items on the grocery list perfectly, but the middle items are a blur."""
Processing difficulty effect: That information that takes longer to read and is thought about more (processed with more difficulty) is more easily remembered.,"""I'll use a long and complicated password with special characters and numbers so that the defender will have a hard time processing it and they'll be less likely to remember it.""","""I created a phishing email with several intentionally confusing statements, knowing that the increased processing difficulty would make the recipient more likely to remember the content and be more susceptible to clicking on the malicious links.""","""I remember that math problem I struggled with for an hour much better than the ones I breezed through in just a few minutes because the difficult one required more processing and mental effort."""
Reminiscence bump: The recalling of more personal events from adolescence and early adulthood than personal events from other lifetime periods.,"""By sending a targeted phishing email at the end of the day, the recipient is more likely to remember and fall for the scam, due to the recency effect.""","""By sending a targeted phishing email at the end of the day, the recipient is more likely to remember and fall for the scam, due to the recency effect.""","""I can't believe I remembered that silly thing I did in high school but can't remember what I did last week."""
Rosy retrospection: The remembering of the past as having been better than it really was.,"""An attacker might try to exploit the reminiscence bump by sending phishing emails that appear to be from an old friend or associate from the target's adolescence or early adulthood.""","""An attacker might try to exploit the reminiscence bump by sending phishing emails that appear to be from an old friend or associate from the target's adolescence or early adulthood.""","""I can't believe how great things used to be, I must have had it so easy back then."""
Self-relevance effect: That memories relating to the self are better recalled than similar information relating to others.,"""An attacker might use the rosy retrospection bias to trick a victim into thinking their past security measures were stronger than they actually were, making them less likely to suspect a current attack.""","""An attacker might use the rosy retrospection bias to trick a victim into thinking their past security measures were stronger than they actually were, making them less likely to suspect a current attack.""","""I can't seem to recall what my friend said last week, but I remember every detail of my own conversation with her."""
"Source confusion: Confusing episodic memories with other information, creating distorted memories.","""I'll target the network administrator because they are likely to have better recall of their own login credentials than those of their colleagues.""","""I'll target the network administrator because they are likely to have better recall of their own login credentials than those of their colleagues.""","""I swear I read that article about the new housing development, but now that I think about it, I'm not sure if it was in the newspaper or on my friend's Facebook page."""
Spacing effect: That information is better recalled if exposure to it is repeated over a long span of time rather than a short one.,"""The attacker tricks the target into thinking that the fake source of information is the real source, causing the target to have false or distorted memories of the events.""","""The attacker tricks the target into thinking that the fake source of information is the real source, causing the target to have false or distorted memories of the events.""","""I know I read this somewhere before, but I can't remember if it was on the news or in a book."""
Spotlight effect: The tendency to overestimate the amount that other people notice your appearance or behavior.,"""I'll make sure to repeatedly target this network over a long period of time so that the employees will be more likely to remember the phishing emails I send and fall for my attack.""","""I'll make sure to repeatedly target this network over a long period of time so that the employees will be more likely to remember the phishing emails I send and fall for my attack.""","""I can't believe everyone saw me trip and fall, I'm sure they're all talking about it."""
"Stereotypical bias: Memory distorted towards stereotypes (e.g., racial or gender).","""I'll send an email to the network administrator pretending to be their boss, since they'll think that their boss is the only one who would have noticed the mistake they made, they'll be more likely to fall for my phishing scam.""","""I'll send an email to the network administrator pretending to be their boss, since they'll think that their boss is the only one who would have noticed the mistake they made, they'll be more likely to fall for my phishing scam.""","""I'm sure the thief was a young black man, all the criminals in this area fit that description."""
Suffix effect: Diminishment of the recency effect because a sound item is appended to the list that the subject is not required to recall.,"""The attacker might use the target's preconceived notions about their race or gender to exploit their network, knowing that the target's memory may be distorted towards those stereotypes.""","""The suffix effect could be used by an attacker to reduce the likelihood of the target remembering the malicious code, by appending benign code to the end of the attack script.""","""I remembered the first and last items on the list perfectly, but everything in the middle is just a blur, it's like the suffix at the end of the list ruined my recall."""
Suggestibility: A form of misattribution where ideas suggested by a questioner are mistaken for memory.,"""The suffix effect could be used by an attacker to reduce the likelihood of the target remembering the malicious code, by appending benign code to the end of the attack script.""","""I was able to gain access to the network by suggesting to an employee that I was an IT support technician and needed their login credentials for maintenance, which they provided without question due to my suggestion.""","""I am convinced that the perpetrator had a tattoo on their arm, but now I realize that this detail might have been suggested by the police during questioning."""
"Tachypsychia: When time perceived by the individual either lengthens, making events appear to slow down, or contracts.","""By using social engineering tactics, I can convince the target to reveal confidential information by planting false memories and suggestions in their mind.""","""By using social engineering tactics, I can convince the target to reveal confidential information by planting false memories and suggestions in their mind.""","""I swear it felt like that car crash happened in slow motion, but it couldn't have been more than a few seconds."""
"Telescoping effect: The tendency to displace recent events backward in time and remote events forward in time, so that recent events appear more remote, and remote events, more recent.","""I can use tachypsychia to my advantage by making the target believe that the attack is taking much longer than it actually is, causing them to become less vigilant and make mistakes.""","""I can use tachypsychia to my advantage by making the target believe that the attack is taking much longer than it actually is, causing them to become less vigilant and make mistakes.""","""I'm sure that meeting with my boss happened last week, not three days ago."""
Testing effect: The fact that you more easily remember information you have read by rewriting it instead of rereading it.,"""The attacker uses the telescoping effect to make the victim believe that their recent password change was weeks ago, tricking them into thinking they need to change it again, which in turn gives the attacker access to the network.""","""The attacker uses the telescoping effect to make the victim believe that their recent password change was weeks ago, tricking them into thinking they need to change it again, which in turn gives the attacker access to the network.""","""I can't believe I passed the exam, I only studied by rewriting my notes instead of rereading them, the testing effect really works!"""
"Tip of the tongue phenomenon: When a subject is able to recall parts of an item, or related information, but is frustratingly unable to recall the whole item. This is thought to be an instance of “blocking” where multiple similar memories are being recalled and interfere with each other.","""I'll make sure to make an effort to write down the login credentials instead of just reading it, because I know that the testing effect will help me remember it better.""","""I'll make sure to make an effort to write down the login credentials instead of just reading it, because I know that the testing effect will help me remember it better.""","""I know I've heard of that actor before, but it's on the tip of my tongue and I can't remember their name right now."""
Travis Syndrome: Overestimating the significance of the present.,"""I know the password I used before, but it's on the tip of my tongue, and I can't seem to recall the whole thing, maybe it's just interference from similar passwords I've used before.""","""I know the password I used before, but it's on the tip of my tongue, and I can't seem to recall the whole thing, maybe it's just interference from similar passwords I've used before.""","""I know I'm gonna remember this moment forever, it's the most important moment of my life"""
Verbatim effect: That the “gist” of what someone has said is better remembered than the verbatim wording.,"""I'm sure this new vulnerability I found is the one that will allow me to compromise the entire network, I'm not leaving this machine until I exploit it.""","""I'm sure this new vulnerability I found is the one that will allow me to compromise the entire network, I'm not leaving this machine until I exploit it.""","""I can't remember his exact words, but I remember the general idea of what he said."""
von Restorff effect: That an item that sticks out is more likely to be remembered than other items.,"""I won't need to remember the exact words the target said, I just need to know the general idea they conveyed.""","""I won't need to remember the exact words the target said, I just need to know the general idea they conveyed.""","""I always remember the blue shirt in the store because it stood out among the other colors"""
Zeigarnik effect: That uncompleted or interrupted tasks are remembered better than completed ones.,"""I'll make sure this network sticks out by using a unique malware, it's more likely to be remembered and easily recognized if we need to get back in again later.""","""I'll make sure this network sticks out by using a unique malware, it's more likely to be remembered and easily recognized if we need to get back in again later.""","""I can't seem to shake off this feeling of incompleteness, I keep thinking about that unfinished project at work."""
